participant_id,response_id,item_id,correct,treatment,domain,prior_knowledge_z,confidence_z,crt_z,avg_knowledge,avg_confidence,crt_score,llm_familiarity_z,llm_knowledge_z,ai_truthful1,ai_helpful1,ai_confident1,ai_truthful2,ai_helpful2,ai_confident2,confidence,knowledge,ai_correct,said_ai_correct,said_ai_label
66f63aeba07bb69cb2f44c32,R_7sXzEtTjC8WCuYx,legal_25,1,reasoning,legal,-0.5543150120389906,-0.7414379764595735,-0.008943735194645197,2.1666666666666665,2.6,2,0.04267469186821812,-0.3665237221790089,2,3,3,2,3,2,4,2,1,1,said_correct
66f63aeba07bb69cb2f44c32,R_7sXzEtTjC8WCuYx,math_20,1,reasoning,math,-0.5543150120389906,-0.7414379764595735,-0.008943735194645197,2.1666666666666665,2.6,2,0.04267469186821812,-0.3665237221790089,2,3,3,2,3,2,1,1,1,1,said_correct
66f63aeba07bb69cb2f44c32,R_7sXzEtTjC8WCuYx,finance_22,1,reasoning,finance,-0.5543150120389906,-0.7414379764595735,-0.008943735194645197,2.1666666666666665,2.6,2,0.04267469186821812,-0.3665237221790089,2,3,3,2,3,2,3,2,1,1,said_correct
66f63aeba07bb69cb2f44c32,R_7sXzEtTjC8WCuYx,medical_100,1,reasoning,medical,-0.5543150120389906,-0.7414379764595735,-0.008943735194645197,2.1666666666666665,2.6,2,0.04267469186821812,-0.3665237221790089,2,3,3,2,3,2,1,1,1,1,said_correct
66f63aeba07bb69cb2f44c32,R_7sXzEtTjC8WCuYx,misinfo_106,0,reasoning,misinfo,-0.5543150120389906,-0.7414379764595735,-0.008943735194645197,2.1666666666666665,2.6,2,0.04267469186821812,-0.3665237221790089,2,3,3,2,3,2,4,4,0,1,said_correct
6722b6b9cb69415ce7f4c688,R_5po0QnDkTMbhnX3,legal_22,1,reasoning,legal,1.1141917131619838,1.9628950683777768,0.8854297842698936,3.6666666666666665,5,3,-1.024192604837234,0.8973511818865388,4,4,4,4,4,4,5,4,1,1,said_correct
6722b6b9cb69415ce7f4c688,R_5po0QnDkTMbhnX3,math_18,1,reasoning,math,1.1141917131619838,1.9628950683777768,0.8854297842698936,3.6666666666666665,5,3,-1.024192604837234,0.8973511818865388,4,4,4,4,4,4,5,4,1,1,said_correct
6722b6b9cb69415ce7f4c688,R_5po0QnDkTMbhnX3,finance_21,1,reasoning,finance,1.1141917131619838,1.9628950683777768,0.8854297842698936,3.6666666666666665,5,3,-1.024192604837234,0.8973511818865388,4,4,4,4,4,4,5,4,1,1,said_correct
6722b6b9cb69415ce7f4c688,R_5po0QnDkTMbhnX3,medical_109,0,reasoning,medical,1.1141917131619838,1.9628950683777768,0.8854297842698936,3.6666666666666665,5,3,-1.024192604837234,0.8973511818865388,4,4,4,4,4,4,5,3,0,1,said_correct
6722b6b9cb69415ce7f4c688,R_5po0QnDkTMbhnX3,misinfo_103,1,reasoning,misinfo,1.1141917131619838,1.9628950683777768,0.8854297842698936,3.6666666666666665,5,3,-1.024192604837234,0.8973511818865388,4,4,4,4,4,4,5,3,1,1,said_correct
